City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Tazovskiy,RU,67.4667,78.7,-4.13,98,100,12.86,light snow
79,Meulaboh,ID,4.1363,96.1285,73.17,96,100,2.62,light rain
80,Saint-Philippe,RE,-21.3585,55.7679,76.23,85,62,9.01,broken clouds
81,Biberach,DE,48.0934,9.7905,27.14,86,52,8.99,broken clouds
82,Hithadhoo,MV,-0.6,73.0833,81.52,78,34,13.51,scattered clouds
83,Cidreira,BR,-30.1811,-50.2056,81.64,45,4,15.57,clear sky
84,Feltre,IT,46.0235,11.907,34.84,72,32,5.93,scattered clouds
85,Castro,BR,-24.7911,-50.0119,76.03,70,74,8.01,broken clouds
86,Tikrit,IQ,34.6071,43.6782,66.24,40,63,7.49,broken clouds
87,Abay,KZ,49.6311,72.8539,9.39,74,87,4.23,overcast clouds
88,Sao Filipe,CV,14.8961,-24.4956,76.53,67,96,13.0,overcast clouds
89,Taft,IR,31.7471,54.2088,54.68,49,7,2.28,clear sky
90,Vieques,PR,18.425,-65.8329,82.74,71,31,10.78,scattered clouds
91,Bay City,US,43.5945,-83.8889,33.62,70,50,9.26,scattered clouds
92,Alofi,NU,-19.0595,-169.9187,76.95,57,96,11.99,overcast clouds
93,Victoria,HK,22.2855,114.1577,71.35,69,3,8.21,clear sky
94,Saint-Pierre,RE,-21.3393,55.4781,76.98,82,43,9.57,scattered clouds
95,Hasaki,JP,35.7333,140.8333,53.85,61,55,6.33,broken clouds
96,Jinka,ET,5.65,36.65,73.4,45,85,1.43,overcast clouds
97,Coquimbo,CL,-29.9533,-71.3436,62.91,74,6,10.25,clear sky
98,Hamilton,US,39.1834,-84.5333,39.76,34,44,5.7,scattered clouds
99,Monrovia,LR,6.3005,-10.7969,83.19,70,42,8.12,scattered clouds
100,Meaford,CA,44.6001,-80.583,33.26,86,91,8.7,overcast clouds
101,Sabzevar,IR,36.2126,57.6819,52.34,40,75,1.83,broken clouds
102,Sioux Lookout,CA,50.1001,-91.917,23.79,90,100,4.07,overcast clouds
103,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,79.39,79,100,9.08,light rain
104,Atuona,PF,-9.8,-139.0333,77.7,80,25,21.52,light rain
105,Roanoke Rapids,US,36.4615,-77.6542,46.8,33,6,12.71,clear sky
106,Hobart,AU,-42.8794,147.3294,49.35,92,17,5.59,few clouds
107,Bathsheba,BB,13.2167,-59.5167,82.65,67,82,16.89,broken clouds
108,Aykhal,RU,66.0,111.5,-26.19,100,94,5.17,overcast clouds
109,East London,ZA,-33.0153,27.9116,70.07,76,42,10.76,scattered clouds
110,Norman Wells,CA,65.282,-126.8329,-16.8,94,87,5.84,overcast clouds
111,Sitka,US,57.0531,-135.33,31.6,84,100,6.46,overcast clouds
112,Khatanga,RU,71.9667,102.5,-23.19,100,97,6.44,overcast clouds
113,Aklavik,CA,68.2191,-135.0107,-24.34,91,94,3.6,overcast clouds
