City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Puerto Ayora,EC,2021-11-24 15:30:39,-0.7393,-90.3518,76.96,73,88,11.12
67,Krasnoselkup,RU,2021-11-24 15:37:32,65.7,82.4667,9.05,95,100,10.65
68,Kavieng,PG,2021-11-24 15:35:47,-2.5744,150.7967,82.87,73,93,13.49
69,Korla,CN,2021-11-24 15:37:33,41.7597,86.1469,29.53,52,0,1.39
70,Rjukan,NO,2021-11-24 15:37:33,59.8789,8.5941,45.46,97,98,7.16
71,Bom Jesus,BR,2021-11-24 15:37:33,-9.0744,-44.3586,94.06,38,66,5.66
72,Harrisburg,US,2021-11-24 15:32:57,40.2737,-76.8844,41.94,51,1,3.0
73,Grindavik,IS,2021-11-24 15:37:34,63.8424,-22.4338,30.67,69,90,3.44
74,Hilo,US,2021-11-24 15:26:23,19.7297,-155.09,77.29,71,1,8.05
75,Ogaminana,NG,2021-11-24 15:37:34,7.5946,6.2248,92.12,36,87,6.24
76,Colombia,CU,2021-11-24 15:37:34,20.9881,-77.4297,79.52,63,48,15.37
77,Longyearbyen,SJ,2021-11-24 15:34:34,78.2186,15.6401,1.24,66,20,10.36
78,Pisco,PE,2021-11-24 15:33:20,-13.7,-76.2167,68.05,77,0,9.22
79,Chalus,IR,2021-11-24 15:37:35,36.655,51.4204,53.06,94,40,2.3
80,Changping,CN,2021-11-24 15:37:35,40.2186,116.2197,35.24,44,0,7.05
81,Tuktoyaktuk,CA,2021-11-24 15:37:35,69.4541,-133.0374,-22.0,69,1,9.22
82,Manaure,CO,2021-11-24 15:37:36,11.7751,-72.4445,83.93,66,98,5.73
83,Petropavlovsk-Kamchatskiy,RU,2021-11-24 15:35:39,53.0452,158.6483,37.99,65,75,8.95
84,Kalety,PL,2021-11-24 15:37:36,50.5627,18.8926,41.22,81,90,5.75
85,Bluff,NZ,2021-11-24 15:33:21,-46.6,168.3333,49.42,89,90,9.46
86,Naraini,IN,2021-11-24 15:37:37,25.1833,80.4833,65.21,32,1,4.52
87,Teknaf,BD,2021-11-24 15:37:37,20.8624,92.3058,73.06,66,45,6.93
88,Villamontes,BO,2021-11-24 15:37:37,-21.25,-63.5,83.79,60,100,5.61
89,Kruisfontein,ZA,2021-11-24 15:30:42,-34.0033,24.7314,63.88,68,100,12.91
90,Chokurdakh,RU,2021-11-24 15:30:43,70.6333,147.9167,-13.25,98,100,5.12
91,Faanui,PF,2021-11-24 15:37:38,-16.4833,-151.75,79.84,75,32,3.02
92,Jiayuguan,CN,2021-11-24 15:37:38,39.8167,98.3,31.05,22,8,3.2
93,Tokur,RU,2021-11-24 15:37:38,53.1333,132.9,3.58,97,41,3.87
94,Wiesmoor,DE,2021-11-24 15:37:39,53.4167,7.7333,44.87,89,75,8.05
95,Gat,IL,2021-11-24 15:30:51,31.61,34.7642,68.68,100,36,7.16
96,Lebu,CL,2021-11-24 15:30:40,-37.6167,-73.65,59.04,79,100,9.44
97,Saint George,US,2021-11-24 15:35:10,37.1041,-113.5841,46.26,40,1,4.0
98,Qaanaaq,GL,2021-11-24 15:35:46,77.484,-69.3632,-5.48,58,0,8.66
99,Svetlogorsk,BY,2021-11-24 15:38:39,52.6333,29.7333,35.8,82,90,13.13
100,Sao Felix Do Xingu,BR,2021-11-24 15:33:21,-6.6447,-51.995,96.03,37,53,1.9
101,Mahebourg,MU,2021-11-24 15:33:11,-20.4081,57.7,79.09,69,20,8.05
102,Mataura,NZ,2021-11-24 15:33:09,-46.1927,168.8643,43.59,98,90,2.66
103,Kampong Cham,KH,2021-11-24 15:38:40,11.9934,105.4635,75.9,78,100,12.91
104,Avera,US,2021-11-24 15:34:34,33.194,-82.5271,51.71,24,0,6.62
105,Carnarvon,AU,2021-11-24 15:34:34,-24.8667,113.6333,75.27,57,0,14.97
106,Haines Junction,CA,2021-11-24 15:35:39,60.7522,-137.5108,-4.05,77,100,1.14
107,Sur,OM,2021-11-24 15:34:35,22.5667,59.5289,78.6,40,32,1.07
108,Khatanga,RU,2021-11-24 15:33:19,71.9667,102.5,-9.24,94,91,3.89
109,Kismayo,SO,2021-11-24 15:38:41,-0.3582,42.5454,80.11,81,55,12.46
110,Kambove,CD,2021-11-24 15:38:41,-10.8764,26.5969,62.65,93,95,3.62
111,Victoria,HK,2021-11-24 15:31:00,22.2855,114.1577,68.25,75,4,3.0
112,Port Elizabeth,ZA,2021-11-24 15:29:49,-33.918,25.5701,66.49,63,20,9.22
113,Pevek,RU,2021-11-24 15:38:41,69.7008,170.3133,-23.66,99,85,4.21
114,Zhezkazgan,KZ,2021-11-24 15:38:42,47.8043,67.7144,36.54,76,100,10.49
115,Presidencia Roque Saenz Pena,AR,2021-11-24 15:38:42,-26.7852,-60.4388,93.85,34,48,8.81
116,Ulety,RU,2021-11-24 15:38:42,51.3572,112.4849,5.92,98,74,1.95
117,Fuyang,CN,2021-11-24 15:38:43,32.9,115.8167,49.35,59,0,9.15
118,Nenjiang,CN,2021-11-24 15:38:43,49.1833,125.2167,16.38,80,100,11.05
119,Alofi,NU,2021-11-24 15:38:43,-19.0595,-169.9187,67.89,94,84,1.14
120,Xichang,CN,2021-11-24 15:38:44,27.8964,102.2634,47.1,82,91,1.32
121,Oga,IT,2021-11-24 15:38:44,46.4631,10.347,36.68,86,1,3.38
122,Kahului,US,2021-11-24 15:38:44,20.8947,-156.47,71.83,81,1,5.75
123,Fairbanks,US,2021-11-24 15:37:25,64.8378,-147.7164,-7.91,71,1,0.0
124,Ambon,ID,2021-11-24 15:32:00,-3.6954,128.1814,77.14,88,40,9.22
125,Mount Gambier,AU,2021-11-24 15:38:45,-37.8333,140.7667,57.11,88,90,9.22
126,Punta Arenas,CL,2021-11-24 15:27:36,-53.15,-70.9167,48.11,61,60,18.23
127,Meulaboh,ID,2021-11-24 15:35:23,4.1363,96.1285,74.07,90,100,8.5
128,Arraial Do Cabo,BR,2021-11-24 15:30:46,-22.9661,-42.0278,80.56,78,20,12.66
129,Port Lincoln,AU,2021-11-24 15:34:30,-34.7333,135.8667,60.53,87,9,15.35
130,Henties Bay,NA,2021-11-24 15:38:45,-22.116,14.2845,62.85,78,19,8.97
131,Pacific Grove,US,2021-11-24 15:38:46,36.6177,-121.9166,56.57,57,1,1.01
132,Taltal,CL,2021-11-24 15:38:46,-25.4,-70.4833,66.34,66,18,8.21
133,Bonthe,SL,2021-11-24 15:38:46,7.5264,-12.505,85.98,64,36,7.49
134,Burgeo,CA,2021-11-24 15:38:47,47.6167,-57.6152,50.97,90,100,35.93
135,Ribeira Grande,PT,2021-11-24 15:32:04,38.5167,-28.7,68.4,83,75,19.57
136,Port Antonio,JM,2021-11-24 15:38:47,18.18,-76.4612,83.91,62,81,5.91
137,Burnie,AU,2021-11-24 15:38:47,-41.0667,145.9167,57.92,86,15,8.01
138,Caravelas,BR,2021-11-24 15:38:48,-17.7125,-39.2481,82.74,62,55,8.23
139,Cherskiy,RU,2021-11-24 15:31:58,68.75,161.3,-16.35,94,100,2.26
140,East London,ZA,2021-11-24 15:30:28,-33.0153,27.9116,65.34,63,20,6.91
141,Abu Kamal,SY,2021-11-24 15:39:48,34.4506,40.9171,64.36,42,56,7.07
142,Narsaq,GL,2021-11-24 15:33:08,60.9167,-46.05,32.22,98,100,9.19
143,Sao Raimundo Nonato,BR,2021-11-24 15:30:48,-9.0153,-42.6994,90.27,42,87,7.83
144,Thompson,CA,2021-11-24 15:39:49,55.7435,-97.8558,-7.44,77,20,12.66
145,Butaritari,KI,2021-11-24 15:33:17,3.0707,172.7902,81.9,68,89,13.56
146,Kaitangata,NZ,2021-11-24 15:39:49,-46.2817,169.8464,46.89,82,98,4.09
147,Kotaparh,IN,2021-11-24 15:39:49,19.15,82.35,69.08,74,25,6.02
148,Avarua,CK,2021-11-24 15:31:57,-21.2078,-159.775,73.45,78,90,4.61
149,Tiksi,RU,2021-11-24 15:39:50,71.6872,128.8694,-18.09,97,38,6.89
150,Belle Fourche,US,2021-11-24 15:39:50,44.6714,-103.8522,32.32,72,100,17.2
151,Manggar,ID,2021-11-24 15:39:50,-2.8833,108.2667,79.05,77,100,4.12
152,Pangnirtung,CA,2021-11-24 15:39:51,66.1451,-65.7125,19.4,86,90,5.75
153,Chuy,UY,2021-11-24 15:33:12,-33.6971,-53.4616,78.82,31,0,9.48
154,The Pas,CA,2021-11-24 15:39:51,53.8251,-101.2541,-5.78,77,1,11.5
155,Mount Isa,AU,2021-11-24 15:39:52,-20.7333,139.5,74.97,69,55,9.22
156,Ialibu,PG,2021-11-24 15:39:52,-6.2821,143.9935,55.04,96,99,3.47
157,Bridlington,GB,2021-11-24 15:39:52,54.0831,-0.1919,47.89,80,99,10.33
158,Tres Arroyos,AR,2021-11-24 15:39:53,-38.3739,-60.2798,96.76,16,0,11.27
159,Yellowknife,CA,2021-11-24 15:30:42,62.456,-114.3525,-12.59,94,40,1.01
160,Kontagora,NG,2021-11-24 15:39:53,10.3999,5.4695,94.73,18,93,4.12
161,Barrow,US,2021-11-24 15:33:18,71.2906,-156.7887,-7.58,84,1,8.05
162,Camapua,BR,2021-11-24 15:35:39,-19.5314,-54.0439,91.13,47,100,7.14
163,Rapina,EE,2021-11-24 15:39:53,58.0981,27.4636,41.05,93,30,8.97
164,Kawalu,ID,2021-11-24 15:31:59,-7.3817,108.2082,74.77,95,99,0.51
165,Ponta Do Sol,PT,2021-11-24 15:39:54,32.6667,-17.1,69.12,62,93,10.33
166,Tuatapere,NZ,2021-11-24 15:39:54,-46.1333,167.6833,46.92,86,91,4.72
167,Grantham,GB,2021-11-24 15:39:54,52.9115,-0.6418,46.99,85,75,1.01
168,Soyo,AO,2021-11-24 15:39:55,-6.1349,12.3689,80.19,76,87,11.59
169,Bathsheba,BB,2021-11-24 15:39:55,13.2167,-59.5167,86.61,70,40,16.11
170,Largu,RO,2021-11-24 15:39:55,44.9667,27.15,40.3,66,13,4.76
171,Panjab,AF,2021-11-24 15:39:56,34.388,67.0233,33.98,69,77,2.62
172,Aksu,CN,2021-11-24 15:39:56,41.1231,80.2644,32.67,45,2,2.64
173,Gizo,SB,2021-11-24 15:39:56,-8.103,156.8419,82.13,75,78,6.04
174,Yambio,SS,2021-11-24 15:39:57,4.5721,28.3955,78.8,46,5,2.15
175,Ancud,CL,2021-11-24 15:33:22,-41.8697,-73.8203,67.42,91,88,9.28
176,Beloha,MG,2021-11-24 15:39:57,-25.1667,45.05,72.48,74,99,11.72
177,Esperance,AU,2021-11-24 15:31:54,-33.8667,121.9,55.24,78,7,3.49
178,Trincomalee,LK,2021-11-24 15:39:58,8.5711,81.2335,79.52,83,100,4.5
179,Westerland,DE,2021-11-24 15:39:58,54.9079,8.3033,48.22,93,90,11.5
180,Coquimbo,CL,2021-11-24 15:31:52,-29.9533,-71.3436,62.96,66,61,7.58
181,Ambilobe,MG,2021-11-24 15:39:58,-13.2,49.05,80.08,72,68,4.34
182,Asau,RO,2021-11-24 15:39:59,46.4333,26.4,37.76,85,36,2.08
183,Muzhi,RU,2021-11-24 15:39:59,65.3667,64.6667,15.39,80,100,15.05
184,Padang,ID,2021-11-24 15:39:59,-0.9492,100.3543,77.05,74,98,2.75
185,Vardo,NO,2021-11-24 15:31:56,70.3705,31.1107,22.75,86,91,17.27
186,Mackay,AU,2021-11-24 15:41:00,-21.15,149.2,80.58,78,75,8.05
187,Zatoka,UA,2021-11-24 15:41:00,46.0725,30.4654,41.54,51,16,2.08
188,Belyy Yar,RU,2021-11-24 15:41:00,53.6039,91.3903,22.89,64,0,8.95
189,West Lorne,CA,2021-11-24 15:39:58,42.6001,-81.5998,45.45,58,60,20.38
190,Rapid City,US,2021-11-24 15:37:10,44.0805,-103.231,33.1,76,90,8.99
191,Pozo Colorado,PY,2021-11-24 15:41:01,-23.4923,-58.7972,93.72,40,89,6.71
192,Prince Rupert,CA,2021-11-24 15:41:01,54.3161,-130.3201,42.49,85,90,23.02
193,Lasa,IT,2021-11-24 15:41:02,46.6166,10.7002,44.06,76,0,1.99
194,Aksarka,RU,2021-11-24 15:41:02,66.5606,67.7975,-2.47,97,100,3.04
195,Swabi,PK,2021-11-24 15:41:02,34.1199,72.4699,62.67,25,74,5.08
196,Alpena,US,2021-11-24 15:41:03,45.0617,-83.4327,40.1,57,1,3.0
197,Carutapera,BR,2021-11-24 15:41:03,-1.195,-46.02,89.76,53,61,10.04
198,Podgornoye,RU,2021-11-24 15:41:03,51.735,39.1496,25.02,63,0,6.71
199,Pangoa,PE,2021-11-24 15:41:04,-12.1167,-73.0,80.29,68,100,0.67
200,San Rafael,AR,2021-11-24 15:38:03,-34.6177,-68.3301,84.2,39,64,14.25
201,Berdigestyakh,RU,2021-11-24 15:41:04,62.0989,126.6992,-16.31,96,100,2.84
202,Linqiong,CN,2021-11-24 15:41:04,30.4159,103.4609,49.82,71,30,2.17
203,Chicama,PE,2021-11-24 15:41:05,-7.8447,-79.1469,63.14,63,98,7.31
204,Siva,EG,2021-11-24 15:41:05,29.2041,25.5195,70.81,26,6,3.69
205,Krasnyy Oktyabr,RU,2021-11-24 15:41:05,56.1167,38.8833,28.15,94,100,14.14
206,Bethel,US,2021-11-24 15:35:44,41.3712,-73.414,38.57,48,1,1.99
207,Maua,BR,2021-11-24 15:41:06,-23.6678,-46.4614,79.07,76,87,7.54
208,Mogadishu,SO,2021-11-24 15:38:46,2.0371,45.3438,81.03,74,7,13.27
209,Auki,SB,2021-11-24 15:41:06,-8.7676,160.7034,77.23,87,30,3.89
210,Tabou,CI,2021-11-24 15:41:06,4.423,-7.3528,83.52,71,20,6.02
211,Sitka,US,2021-11-24 15:41:07,57.0531,-135.33,42.69,75,90,28.77
212,Ganzhou,CN,2021-11-24 15:41:07,28.8184,115.4327,49.06,63,80,2.42
213,Sao Paulo Do Potengi,BR,2021-11-24 15:41:07,-5.895,-35.7628,87.91,30,17,14.43
214,Brunsbuttel,DE,2021-11-24 15:41:08,53.9,9.15,46.49,87,100,4.0
215,Kamaishi,JP,2021-11-24 15:41:08,39.2667,141.8833,39.58,89,37,7.16
216,Ixtapa,MX,2021-11-24 15:41:08,20.7,-105.2,78.22,73,1,6.91
217,Atar,MR,2021-11-24 15:41:09,20.5169,-13.0499,93.87,17,100,5.86
218,Nanortalik,GL,2021-11-24 15:31:58,60.1432,-45.2371,37.62,97,100,14.83
219,La Ronge,CA,2021-11-24 15:36:16,55.1001,-105.2842,-10.95,77,75,3.44
220,Abha,SA,2021-11-24 15:41:09,18.2164,42.5053,66.02,52,20,5.75
221,Los Llanos De Aridane,ES,2021-11-24 15:31:16,28.6585,-17.9182,69.55,79,20,5.01
222,Nienburg,DE,2021-11-24 15:41:10,52.6333,9.2167,46.29,83,26,3.18
223,Kaura Namoda,NG,2021-11-24 15:41:10,12.5898,6.5779,94.57,12,16,10.38
224,Coahuayana,MX,2021-11-24 15:33:17,18.7333,-103.6833,78.28,56,18,1.21
225,Raduzhnyy,RU,2021-11-24 15:41:10,62.0961,77.475,5.27,95,100,8.12
226,Ketchikan,US,2021-11-24 15:41:11,55.3422,-131.6461,39.18,93,90,29.93
227,Yulara,AU,2021-11-24 15:41:11,-25.2406,130.9889,64.24,55,0,10.36
228,Lagoa,PT,2021-11-24 15:41:11,39.05,-27.9833,64.11,80,100,34.96
229,Ambovombe,MG,2021-11-24 15:42:12,-25.1667,46.0833,73.63,77,100,12.88
230,Severo-Kurilsk,RU,2021-11-24 15:42:13,50.6789,156.125,36.91,98,100,17.81
231,Channel-Port Aux Basques,CA,2021-11-24 15:42:13,47.5702,-59.1367,50.13,95,100,31.54
232,Baykit,RU,2021-11-24 15:42:13,61.67,96.37,17.8,91,100,6.62
233,Srednekolymsk,RU,2021-11-24 15:34:24,67.45,153.6833,-13.09,99,100,4.18
234,Guerrero Negro,MX,2021-11-24 15:42:14,27.9769,-114.0611,65.88,74,1,8.16
235,Honningsvag,NO,2021-11-24 15:42:14,70.9821,25.9704,32.2,54,100,16.51
